Credit Rating,Maturity (Years),Coupon Rate (%),Face Value ($),Default Probability
BB,7,8.507854484034473,6172,0.7020327235269868
B,20,18.606518450082092,2707,0.3218917310869088
A,29,14.818167921272,6791,0.7100466259348501
C,15,7.204274607310872,6535,0.705157594421771
BB,11,11.838435513702589,5931,0.6639450122117859
CC,8,10.89585094049065,4510,0.4836848315622404
AAA,29,19.262268462637635,1202,0.1458865579735938
BB,21,17.04614312488488,5218,0.6086078399838823
A,7,15.199082092610238,9958,0.9242507658498023
AAA,26,11.254150515392515,5389,0.6287021707651473
BBB,19,12.148272147613117,3327,0.40155007504065404
BB,23,19.339850838018624,9004,0.8031883145062857
CCC,11,12.533650706047009,3931,0.42199101433594144
AAA,11,6.243984458428324,8777,0.8447392821311269
A,24,6.629196608377566,1197,0.11234516690593582
AA,21,4.140071842197048,8125,0.7760322166789926
C,4,1.2970917280826846,2930,0.10821279299676584
B,8,9.044628133421021,7287,0.790241042116074
A,24,8.502748845335823,9800,0.8242723123926494
CC,3,6.576275319642725,5282,0.5967677742325137
CC,22,1.2675166315866047,3511,0.4434014072932095
AA,21,4.778005677687299,1659,0.1648828093455888
B,2,14.515497102224352,3811,0.18690738585979605
CCC,24,16.013335270092906,8098,0.7694604328710386
AA,12,12.513239520839218,7546,0.778539267628857
AA,30,18.59971669175363,2986,0.42202073925704003
AAA,6,13.370463484536947,9338,0.9188750528429221
CC,2,18.384233835331838,3911,0.21250056477809587
AAA,28,17.15073297800619,2734,0.3798626809656277
C,21,9.539562808625863,2843,0.3494238557971998
B,1,2.812792213317815,9680,0.9996004696483429
CCC,12,8.04554679176706,3976,0.4374012771485969
CCC,26,13.70798380060854,2959,0.397644626780411
A,22,13.652524775732438,6759,0.7108445811293033
AA,29,12.234657966446814,7694,0.7483907863895538
C,12,6.219714066811219,3385,0.34833013683167097
CC,25,11.66362509110632,5736,0.650741890612093
CCC,17,8.275610620322006,2802,0.30990768426897963
C,27,19.462529812392972,9155,0.8000602910806025
BBB,27,17.129362661055595,9120,0.799027000430709
BBB,10,14.71286090213259,7616,0.7948819642624354
AAA,28,5.483713475230159,6534,0.6975670298735192
CC,28,5.865298132465155,5061,0.6087387528222112
A,16,1.7682382012301954,1262,0.06413930646004785
CCC,15,14.50259490402996,7287,0.7517184598133614
AA,30,3.1069255954247956,9815,0.8131512964381409
AA,30,9.347393535449632,3049,0.42949232423774675
CCC,15,4.832664844372528,6423,0.6974133175644082
B,30,18.01950831779687,5548,0.6438614042719593
A,19,10.032034240460124,4108,0.49702476789959765
C,12,11.70223586755129,8158,0.8105231310990735
B,23,14.214805642096422,8400,0.7825021351328281
B,20,3.647297633711638,4170,0.5082412301522312
AAA,25,12.483930206278528,3255,0.4288724154917989
BBB,3,11.256980734731789,2154,0.00952979320281109
B,5,4.8581632699606185,5499,0.6272266144037052
B,19,18.91421784060164,7295,0.7425591737765618
BB,7,12.378443863282182,7197,0.7940659707670696
AAA,21,14.200913727754388,2648,0.3211791710975525
CC,9,17.728888941289895,6539,0.724827721161873
BB,7,12.862726914542073,5199,0.581621840169293
BB,18,6.617040030916566,9445,0.8319051915503225
CCC,4,3.0043909367751414,3557,0.22623574912360322
BBB,25,9.674156839175293,6592,0.7007013997262133
B,28,5.150368307119838,1098,0.12143148356351774
BBB,14,8.913689009536958,3200,0.34116219493902955
A,18,17.782324919458496,3961,0.4751253204974085
CCC,26,7.1625553991002056,5973,0.6661509614142875
CC,9,3.319671139312794,5433,0.613488361835048
BBB,26,7.769658923462523,3869,0.5013919331852138
AA,21,18.22974038936933,1956,0.21333632688230036
A,2,6.170512738308071,9352,0.9888287251754762
AAA,20,13.306112290285885,6699,0.7090647262753962
CC,28,1.0098871629110007,7944,0.7586757528332687
A,15,7.698808270349211,5493,0.6236381355781034
CCC,28,6.790843905002551,5911,0.6637544635177721
BB,7,4.128461209715893,4987,0.5506752819575496
BB,12,11.147698968133398,7015,0.7459985464915789
CCC,29,10.211769455820681,2218,0.31368307277108143
C,8,14.156284624915138,5496,0.6211952397815234
BB,15,6.118834342171908,5735,0.6445727999107315
AAA,3,5.63838492270771,5555,0.6519030654786246
AAA,14,4.197529801285681,9050,0.836444406629926
AA,17,5.156520171888335,4446,0.5254140537826488
B,4,11.603938038329483,2045,0.01637640877424034
C,18,8.672887250102775,7893,0.7734231370527415
CC,8,2.2329526950706495,2693,0.17043663942305864
BB,4,5.824392864752549,4436,0.4210484144638104
AAA,2,5.690645193933423,9754,0.9925189318118867
CCC,30,14.22978118395598,6895,0.7147177076547976
BB,6,14.533141208564398,4354,0.43647327713561035
B,22,3.8136516691145985,1225,0.10296970053666249
CCC,10,19.957069215929895,5893,0.6620038297378492
A,4,6.0688392712304156,8022,0.900056686814525
A,22,19.555684160820405,6600,0.7021094482377933
BB,29,8.809703253046393,8996,0.7923469713265721
B,18,1.6279639251104192,8683,0.8058176573229644
C,26,7.556353712506976,5642,0.6455767812209563
BB,12,13.052675549325912,8679,0.8337725945584537
AAA,2,13.93340357954057,9208,0.9871140107670846
